Subject,Question,A,B,D,C,E,I,F
Biology,"Match the items in Column I with as
many items as possible in Column \( \begin{array}{llll} & \text { Column I } & & \text { Column II } \\ \text { (a) } & \text { Deer } & \text { (i) } & \text { Autotroph } \\ \text { (b) } & \text { Parrot } & \text { (ii) } & \text { Ecosystem } \\ \text { (c) } & \text { Cobra } & \text { (iii) } & \text { Pond } \\ \text { (d) } & \text { Pine tree } & \text { (iv) } & \begin{array}{l}\text { Deciduous } \\ \text { forests }\end{array} \\ \text { (e) } & \text { Grasshopper } & \text { (v) } & \text { Parasite } \\ & \text { (vi) } & \text { Carnivore } \\ & \text { (vii) } & \text { Producer }\end{array} \)",,,,,,,
Biology,Which of the tissue is more important for translocation of sucrose?,Xylem,Phloem,None of the above,Both of the above,,,
Biology,"Briefly explain the following terms:
(i) monohybrid cross
\( (i i) \)
Biomedical waste
(iii) Innate
immunity.
(iv) Diapedesis
(v) Hormones.",,,,,,,
Biology,"Which of the following is called as club
moss?",Pteris,Lycopodium,Marsilea,Equisetum,,,
Biology,"During one Krebs cycle, the number of
\( C O_{2} \) molecules released is
\( A \)",,"2
\( c \cdot 3 \)",4,,,,
Biology,receptors are responsible for the detection of taste.,Gustatory receptors,Olfactory receptors,Both A and B,Auditory receptors,,,
Biology,"In mosses, asexual reproduction is also known as",Alternation of generations,Sporophyte generation,Gametophyte reproduction,Vegetative reproduction,Binary fission,,
Biology,"The tube which connects the cavity of
the middle ear to the throat is known as",,,,,,,
Biology,Which of following the plant has reticulate venation?,Musa,Mangifera,canna,oryza,,,
Biology,What is thermal water pollution?,Change in the color of water,Change in water pressure,Change in pH of water,change in temperature of water,,,
Biology,Dialysis fluid contain all the constituents as in plasma except,,,,,,,
Biology,Two plants can be conclusively said to belong to the same species if they,Can reproduce freely with each other and form seeds,Have more than 90 percent similar genes,Have same number of chromosomes,Look similar and possess identical secondary metabolites,,,
Biology,Collar bone is known as:,scapulal,clavicle,chevron bone,pelvic girdle,,,
Biology,"Which plant hormone help in active absorption of water?
A . Auxin",,GAA,ABAA,cytokinin,,,
Biology,"In Krebs cycle, the Hydrogen atoms removed at succinate level are
accepted by",FAD,ADP,NAD,Атр,,,
Biology,"Average quantity of urea excreted daily humans per day is
A . \( 10-15 \) g",,25 - 30 g,100 - 500 mg,\( 40-50 \mathrm{g} \),,,
Biology,"Alkaptonuria is a disease where the
urine is",Yellow,White,Black,orange,,,
Biology,"Scientist who discovered the role of
light in photosynthesis was",Sachs,Jan Ingenhousz,Priestley,Senebier,,,
Biology,"Refer to the given figure which shows
sectional view of two types of coelom, \( A \)
and B. Select the correct option which
represents groups of animals that
possess A or B.",A-Aschelminthes and Annelids; B-Echinoderms and Chordates,"A-Annelids, Echinoderms and Chordates; BAschelminthes","A-Aschelminthes; B-Annelids, Echinoderms and Chordates",A-Echinoderms and Chordates; B-Aschelminthes and Annelids,,,
Biology,The wall of rectum lacks,Muscularis mucosa,Lamina propria,taeniae,Multicellular glands,,,
Biology,Which one of the following character dif ferentiate man from other mammals?,Superior intelligence,Power of speech,Greater cranial capacity,social life,,,
Biology,"An experiment was set up as shown in
the figure below. After some time, the water level in test tube \( A \) fell down but
not in test tube B.

Why was there a fall in the water level of test tube \( A \) and not in that of test
tube B?",,,,,,,
Biology,"A trihybrid cross is made between two plants with genotypes \( \mathrm{A} / \mathrm{a} \) B/b \( \mathrm{C} / \mathrm{c} \), how many offsprings of such cross will have a genotype a/a b/b c/c?
A . \( 1 / 64 \)",,"\( 1 / 4 \)
\( c \cdot 1 / 16 \)",1/32,,,,
Biology,Pyrolysis of wood yields,Alcohol,Charcoal,"Charcoal, wood gas, tar and oil",Charcoal and wood gas,,,
Biology,"Which of these are present only in male cockroach Anal cerci, Anal styles or Anal places?",,,,,,,
Biology,"Starting from species, phylum comes
before",Genus,Kingdom,None of these,order,,,
Biology,"Fermentation of lactic acid does not
form","ATP
в. \( C O_{2} \)",,NADH and \( C O_{2} \),NADH,,,
Biology,"Assertion
Most of the secretions released by
laticiferous tissue is of no use to plants.
Reason
They are by products of physiological reactions useful for mankind.","Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,",Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,Plants with inferior ovary belongs to,Malvaceae,Poaceae,Rubiaceae,Solanaceae,,,
Biology,"Value based questions.
Why does ozone hole form over
Antarctica?",,,,,,,
Biology,Energy dependent absorption of water against osmotic gradient is,Active absorption,Passive absorption,Bulk absorption,Imbibition,,,
Biology,A person travelling from sea level to high altitudes can develop,High risk sickness,Sea level sickness,All of the above,Altitude sickness,,,
Biology,Pneumatophore is present in,Rhizophora,Nerium,Acaccia,Hibiscus,,,
Biology,"Development of animal by asexual
reproduction is called as",Ontogenesis,Embryogenesis,Morphallaxis,Blastogenesis,,,
Biology,"If a back cell take 20 min to divide \( \& \) if
with this rate it take 10 hrs. To fill a cup
of cells. What time it will take to fill it
half?",,,,,,,
Biology,"Mark true statement about apoplast
pathway.",Apoplast pathway may be aided by cytoplasmic streaming,Apoplast pathway is continuous throughout the plant without any exception,In Apoplast pathway mass flow of water occurs through plasmodesmata,Apoplast pathway is faster than symplast pathway,,,
Biology,Identify the tissue not formed during secondary growth in plants.,Phellogen,Woodd,Pericycle,Phellem,,,
Biology,"Salivary glands are modified into
poison glands in",Snakes,Lizard,None of the above,Both A and B,,,
Biology,Water consumption in a city depends on,Size of the city.,Population of the city.,All of the above.,Demand of water.,,,
Biology,Name the types of teeth and salivary glands found in humans.,,,,,,,
Biology,"Which part of the atmosphere is called
homosphere?",Atmosphere up to \( 70 \mathrm{km} \) from the surface of the earth,Atmosphere up to \( 80 \mathrm{km} \) from the surface of the earth,Atmosphere up to \( 110 \mathrm{km} \) from the surface of the earth,Atmosphere up to \( 90 \mathrm{km} \) from the surface of the earth,,,
Biology,"A few organisms are known to grow and
multiply at temperatures of \( 100^{0} \mathrm{C} \)
\( 105^{0} \mathrm{C} . \) They belong to",Thermophilic sub aerial fungi,Marine archaebaderia,Hot spring blue-green algae,Thermophilic sulphur bacteria,,,
Biology,"Choose the correct answers from the
alternatives given :
In certain organisms and under certain conditions, which of the following can be used as an energy alternative to glucose",fatty acids,glycerol,all of these,amino acids,,,
Biology,Which one belongs to monera?,Amoeba,Escherichia,Spirogyra,Gelidium,,,
Biology,"Cork cells are impervious due to deposit
of",Cutin,Lignin,Chitin,suberin,,,
Biology,"A plant having vascular supply, producing spores but lacking seed is a",Bryophyte,Pteridophyte,Angiosperm,Gymnosperm,,,
Biology,Select the incorrect match.,Morels and truffles - Phycomycetes,Puffballs and toad stools - Basidiomycetes,Late blight of potato - Phytophthora infestans,Early blight of potato - Alternaria solani,,,
Biology,Cycas revoluta is popularly known as,Sago palm,Royal palm,Sea palm,Date palm,,,
Biology,"Examine the data showing the percent identity of the GAPDH gene and protein sequences between humans and the
three species shown below.
Species G
lo \( \begin{array}{ll}\text { Gene } & \text { Protein } \\ \text { ldentity } & \text { ldentity }\end{array} \)
99.6\% \( \quad 100 \% \) Chimpanzee
Fruit Fly 72.4\% 76.7\%
Roundworm \( 68.2 \% \) 74.3\%
Provide a possible reason for why the percent identity between gene sequences is lower than the percent identity of protein sequences.",Multiple codons code for the same amino acid,Introns are likely to have different sequences.,Amino acids cannot be substituted without consequence,Differences in DNA sequences are edited when the mRNA is transcribed,,,
Biology,"Who wrote the book ""Origin of Species""?",G.J. Mende,Lamarck,Charles Darwin,Hugo de Vries,,,
Biology,The term photorespiration was coined by,Decker and Tio.,Julius von Sachs,O-leri,Rouhani.,,,
Biology,Synaptonemal complex is site of,Spindle attachment,Replication,Chromosome alignment and recombination,Chromatid separation,,,
Biology,"2
\( y \)",,,,,,,
Biology,"Eutrophication leads to death of fish
due to",Increased \( O_{2} \) concentration,Decreased \( O_{2} \) concentration,Decreased algal contents,Increased algal contents,,,
Biology,"Very short answer type.
Name the principal excretory organs of
cockroach.",,,,,,,
Biology,"Assertion
Pulmonary circulation consists of flow of deoxygenated blood from right ventricle to the lungs and flow of oxygenated blood from lungs to the left atrium.
Reason
Systemic circulation consists of flow of
oxygenated blood from the left ventricle to all parts of the body and deoxygenated blood from different parts to right atrium.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,"Explain what will happen to a plant cell, if it is kept in a solution having higher water potential.",,,,,,,
Biology,The most important layer of atmosphere is,Troposphere,Thermosphere,None of these,Mesosphere,,,
Biology,"Which era is considered as the age of
reptiles?",,,,,,,
Biology,"What is importance of sexual
reproduction in plant?",,,,,,,
Biology,"Give a brief account of the counter
current mechanism.",,,,,,,
Biology,"Assertion
Escherichia coli lives in a symbiotic relationship in the colon of the human body
Reason
The bacterium produces vitamins which are absorbed by the wall of colon into the blood stream",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,Explain how hypothyroidism and hyperthyroidism can effect the body?,,,,,,,
Biology,The presence of auxins in a solution could be tested by,Avena sativa stem tip test,Carbon tetrachloride test,Defoliation test,lodine test,,,
Biology,"With the advancement of age, hair of males start thinning due to",Falling of hair,Low ATP formation,None of the above,Reduced rate of protein synthesis,,,
Biology,"Give examples androgens and
estrogens.",,,,,,,
Biology,"Assertion
Anaerobic respiration sometimes occurs in our skeletal muscles during strenous exercise.
Reason
Pyruvic acid is reduced to lactic acid by lactate dehydrogenase in the absence of oxygen.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,"What is the difference between
breathing and respiration?",,,,,,,
Biology,During which of the following intervals did life originate on the Earth?,Mesozoic era,Proterozoic eon,Archean eon,cambrian period,,,
Biology,Right aortic arch is present in?,Mammals only,Birds only,Both birds and mammals,Both reptiles and birds,,,
Biology,High value of BOD (Biochemical Oxygen Demand) indicates,Water is less polluted,Consumption of organic matter in the water is higher by the microbes,None of these,water is pure,,,
Biology,"What are the characteristics
associated with the flower?",Green leaves,Colourful petals,Both B and C,Green sepals,,,
Biology,"Ozone layer absorbs \( 93-99 \% \) of sun's
high frequency \( _{-}-_{-}-_{-}- \) light.",,,,,,,
Biology,"How are the xylem vessels arranged in
dicot root?",,,,,,,
Biology,"The animals in which coelom originates as a space in the mesoderm are termed
as",Acoelomates,Pseudocoelomates,All of the above,Schizocoelic and enterocoelic,,,
Biology,"What are endocrine glands? Identify chief endocrine glands, the hormones produced by them, the function of the hormones and diseases produced due to imbalances.",,,,,,,
Biology,The type of joint between the human skull bones is called:,cartilaginous joint,hinge joint,synovial joint,fibrous joint,,,
Biology,Edible part of cabbage is,Flower,Inflorescence,Budd,Stem,,,
Biology,"Assertion
The most widely used compound as
source of ethylene is ethephon.
Reason
Ethephon hastens fruit ripening in tomatoes and apples and accelerates abscission in stems and leaves.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,"Calculate the number of nitrogen bases in E.coli, if the length of E.coli DNA is 1.36
\( \mathrm{mm} \)
A \( \cdot 4 \times 10^{6} \)",,"\( 8 \times 10^{6} \)
\( c \cdot 2 \times 10^{6} \)",\( 16 \times 10^{6} \),,,,
Biology,Chief components of Hill's reaction used in Blackman's reaction are,ATP and NAD,ADP and NADP,All of the above,ATP and \( N A D P H_{2} \),,,
Biology,"Which of the following statements
regarding metabolic pathways is incorrect?",Many of the steps of glycolysis can run in reverse,"Starch, sucrose or glycogen must be hydrolysed before it can enter the glycolysis.","After fat digestion, fatty acids can no longer participate in cellular respiration.","After fats are digested, glycerol enters glycolysis by forming DHAP.",,,
Biology,"Describe the process of assimilation of
food.",,,,,,,
Biology,"Which base is present in RNA but not in
DNA?
A . Uracil",,Thymine,Cytosine,Guanine,,,
Biology,"Which one of the following is not a structural part of a transcription unit in
DNA?",A promoter,The structural gene,A terminator,The inducer,,,
Biology,"What role is performed by pancreas in
order to deal with an increased blood
glucose level above normal range?","Releases insulin, signaling muscle cells to release glucose","Releases glucagon, signaling muscle cells to take up glucose","Releases insulin, signaling the liver to convert glucose to glycogen","Releases glucagon, signaling adipose cells to take up glucose","Releases glucagon, signaling the liver to convert glucose to glycogen",,
Biology,"All of the following statements are
regarding sieve tube elements that are
true except",Their end walls have perforated sieve plates which become impregnated with lignin at maturity.,They possess a peripheral cytoplasm as well as a large vacuole.,"Long, slender, tube-like structures arranged in longitudinal series.","Distinct proteinaceous inclusions, the P-proteins are seen evenly distributed throughout the lumen.",They are devoid of nucleus at maturity.,,
Biology,Pancreas secrete which of the following hormone?,Growth hormone,Thyroxine,Insulin,Adrenalin,,,
Biology,"Pollen extract stimulates the formation
of fruit in the unpollinated carpe because extract has which of the
following hormone?",Auxin,Cytokinin,Auxin and cytokinin,Gibberellin,,,
Biology,"Plant hormones can be used by farmers
to manage plant growth. Give two examples of the commercial value of plant hormones.",,,,,,,
Biology,Collect 5 examples of palindromic sequence by consulting your teacher. Better try to create a palindromic sequence by following base-pair rules.,,,,,,,
Biology,"Origin of gymnosperms occured in
era.",Coenozoic,Paeleozoic,Precambrian,Mesozoic,,,
Biology,"When the two ecosystems overlap each other, the area is called as",Habitat.,Niche,Ecotype.,Ecotone.,,,
Biology,"Plants continue to grow throughout
their life.",True,False,,,,,
Biology,"Which of the following organisms requires a medium through which male
gametes move?","Algae, Bryophyta and Gymnosperm","Pteridophyta, and Angiosperm","Algae, Bryophyta, and Pteridophyta",Bryophytea and Pteridophyta only,,,
Biology,"High energy bond of ATP are present in between
A . c-c",,C-O,O-P,\( c-N \),,,
Biology,"Match column I with column II and
select the correct answer using the
codes given below.
Column I
Column II
A Father of genetics
Palaeontology
B Dihybrid cross
Gregor Mendel
C Study of fossils
\( (r) \)
3: 1
D Nictitating membrane,
Analogous organs ear muscles and
vermiform appendix E Wings of insects, bat and bird
Vestigial organs
\( A \cdot A-(q) ; B-(r) ; C-(p) ; D-(t) ; E-(s) \)",,\( A-(r) ; B-(q) ; C-(p) ; D-(t) ; E-(s) \),\( A-(r) ; B-(p) ; C-(q) ; D-(s) ; E-(t) \),\( A-(r) ; B-(q) ; C-(p) ; D-(s) ; E-(t) \),,,
Biology,The terminalization process starts in,Leptotene,Zygotene,Diakinesis,Diplotene,,,
Biology,Meiotic division in zygote takes place in,Thallophyta,Angiosperms,Pteridophyta,Gymnosperms,,,
Biology,Radical leaves are found in,Radish,Wheat,Mustard,Maize,,,
Biology,Male cockroach can be distinguished from female cockroach through,Longer antennae,Longer abdomen,All the above,wingless body,,,
Biology,List at least three gaseous air pollutants that are emitted from automobiles and industries.,,,,,,,
Biology,"Who confirmed communities with more
species tend to be more stable than those with less species?",Alexander von Humboldt,David Tilman,Edward Wilson,Paul Ehrlich,,,
Biology,"Expand the following terms.
BOD, STP, MTP, UTR, MALT",,,,,,,
Biology,Population explosion is the main cause of pollution. Explain,,,,,,,
Biology,"What happens to the following after
fertilization?
Stamens",,,,,,,
Biology,"A polysaccharide that is used to determine the glomerular filtration rate is inulin, is extracted from roots of",Dahlia,Gladiolus,Sunflower,chrysanthemum,,,
Biology,"The diagram shows four different cells. Which cells provide a large surface area for absorption?
A . 1 and 2",,"1 and 3
\( c \cdot 2 \) and 4",3 and,,,,
Biology,"If a cell with 5 chromosome pairs undergoes mitosis, then what be the total number of chromosomes in its
anaphase stage?
A . 5",,10,20,15,,,
Biology,"The atrio-ventricular valves of the heart
is prevented from turning inside out by tough strands of connective tissue
is called as",Tendinous cords,Tricuspid,Mitral valve,Pocket valve,,,
Biology,Leptome is used for,Phloem,Xylem,Parenchyma,Fibres,,,
Biology,Codon degeneracy means that,Several of the amino acids are coded by more than one codon,One codon can code for many amino acids,The codons are triplet nucleotide sequences.,One amino acid can be coded by only one codon.,,,
Biology,The flowers are composed of,"Petals, sepals, filament and carpel","Sepals, petals, stamen and pistil","Petals, sepals, ovary and anther","Sepals, petals, anther and pistil",,,
Biology,"What is ecosystem? Who coined the
term?",,,,,,,
Biology,"Drinking water may contain dissolved calcium hydrogen-carbonate,
\( \boldsymbol{C} \boldsymbol{a}\left(\boldsymbol{H} \boldsymbol{C} \boldsymbol{O}_{3}\right)_{2} . \) How many electrons are
present in a hydrogen-carbonate anion?
A . 30",,31,33,32,,,
Biology,Write any five salient features of ICBN,,,,,,,
Biology,Lenticel develops through the activity of,vascular cambium,Dermatogen,Intercalary meristem,Phellogen,,,
Biology,"U' or 'V' or 'J' shaped chromosomes are
seen in \( \ldots \ldots . . . . . \) the phase of cell division.",Prophase,Metaphase,Anaphase,Telophase,,,
Biology,"Short / Long Answer Type Questions:
Draw and explain a series of diagrams that illustrate the stages of meiosis I.",,,,,,,
Biology,"Differentiate between
radially symmetrical and bilaterally symmetrical organisms.",,,,,,,
Biology,"The soil in field is highly acidic. list any two materials which can be added to
this soil to reduce its acidity. give the
reason for your choice.",,,,,,,
Biology,"This flower produces enormous trumpet shaped flowers, which smell of rotting meat. Each flower lasts for two days. On
the first day, it is in the female phase, attracting flies by its foul smell. On the next day, the flower changes to male phase and pollen is deposited on the pollinators. Which flower is this?",Dead horse arum lily,Flypaper flower,Pelican flower,waterwheel flower,,,
Biology,Abbreviation BMR in biology stands for,Birth mortality rate,Basal metabolic rate,All of the above,Bone marrow regeneration,,,
Biology,In Drosophila female has a pair of chromosomes,zz,xxx,zw,\( Y Y \),,,
Biology,Sea weeds are important source of,Chlorine,Fluorine,Bromine,lodine,,,
Biology,"Statement -1: Carbon dioxide is
insoluble in water.
Staement -2 Haemoglobin has a high affinity for oxygen.",Both the statements are true,Both the statements are false,Statement-1 is false and Statement-2 is true,statement- - is true and Statement - 2 is false,,,
Biology,"What indicate \( X, Y \) in the given
diagram?",x-cell surface membrane Y-Plasmodesma,X-Plasmodesma Y-Tonoplast,x-Plasmodesma Y-Cell surface membran,x-cell surface membrane Y-Cytoplasm,,,
Biology,"Which of the following statements is
false?",Oxygenated blood is pumped to all other parts of the body from left ventricle.,Gaseous exchange in the alveoli happens through capillaries.,Lungs oxygenate the deoxygenated blood.,Blood-from the right side of the heart enters into left side through right auricle and left auricle.,,,
Biology,Which of the following is the most toxic excretory product?,\( C O_{2} \),Ammonia,Amino acids,urea,,,
Biology,"Assertion
The heart wood is more durable and
resistant to the attack of the micro
organisms and insects as compared to
the sap wood.
Reason
The heart wood contains organic
compounds like oils, aromatic
substance, gums, resin, tannins and
phenol etc.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion.,Both Assertion and Reason are incorrect.,Assertion is correct but Reason is incorrect,,,
Biology,"is naturally occurring
growth inhibitor.",Ethylene,Abscissic acid,Gibberellins,cytokinin,,,
Biology,Physical and chemical conditions of soil are studied under ..... factors.,Biotic,Climatic,Topographic,Edaphic,,,
Biology,Are the polysaccharides sweet like sugars?,,,,,,,
Biology,"Which class of chordate has maximum
living animals?",Pisces,Reptilia,Mammalia,Aves,,,
Biology,"According to Darwinism,
fossils of organisms found in south America resemble most
to the fossils of",North America,Africa,Both A and B,Australia,,,
Biology,What are the functions of the following in breathing? Diaphragm.,,,,,,,
Biology,Heart of a crocodile is,single chambered,Two chambered,"Four chambered
E . Multi chambered",Three chambered,,,
Biology,"Animals belonging to phylum Cnidarian
are symmetrical.
A . Not",,Spherically,Bilaterally,Radially,,,
Biology,"What are micronutrients? Write two
examples of it?",,,,,,,
Biology,"In glycolysis, enzyme enolase produces",Phosphoglyceric acid,Phosphoenol pyruvate,Pyruvate,Phosphoglyceraldehyde,,,
Biology,Decarboxylation occurs during,Glycolysis.,ETS,All the above.,Krebs cycle.,,,
Biology,"Mobile electrons carriers in ETS in
mitochondrial membrane are","\( P Q, P C \)
в. \( C o Q, C y t c \)",,"\( P C, C o Q \)","\( P Q, \) Cyt \( c \)",,,
Biology,"The enzyme responsible for primary
carboxylation in \( C_{3} \) plants is",Hexokinase,Succinic dehydrogenase,RuBP carboxylase oxygenase,Pyruvate carboxylase,,,
Biology,"The thallus of Volvox is called as
\( \mathbf{A} \). Trichome",,Coenobium,Parenchymatous,coenocyte,,,
Biology,"Discuss with your teacher about
(i) Haploid insects and lower plants where cell-division occurs and
(ii) Some haploid cells in higher plants where cell-division does not occur?",,,,,,,
Biology,"The name of the water reservoirs in the
figure is",Pond,Dam,None of the above,Ocean,,,
Biology,"In submerged hydrophytes Ceratophyllum and Vallisneria, stomata
are",On the upper surface of leaves,On the lower surface of leaves,Absent,Both A and B,,,
Biology,"Passive absorption of minerals depends
upon",Humidity,Temperature,Metabolic inhibitor,Temperature and metabolic inhibitor,,,
Biology,Naked seeds of gymnosperms meant for absence of which of the following?,Seed coat,Integument,None of the above,Embry,,,
Biology,"Active transport of ions by the cell
requires",High temperature,ATP,Salts,Alkaline pH,,,
Biology,"We eat food, which is composed of all
the nutrients like carbohydrates, proteins, fats, vitamins, minerals and water. After digestion, these are absorbed in the form of glucose, amino acids, fatty acids, glycerol etc. What mechanisms are involved in absorption of digested food and water?",Diffusion and osmosis respectively,Osmosis and diffusion respectively,None of the above,Reverse osmosis and facilitated diffusion respectively,,,
Biology,Say Yes or No. Is it important that offsprings from the same parent should have common traits?,No,Yes,None of the above,мaybe,,,
Biology,In mitotic cell division,Amount of DNA in the daughter cells will be equal to the parent cell,Size will be half of the parent cell,Both A and C,DNA will be double of the parent cell,,,
Biology,"During the production of bread, it becomes porous due to the release of
\( C O_{2} \) formed by the action of",Yeast,Bacteria.,Protozoa.,virus.,,,
Biology,"Long answer type questions. Why were micronutrients discovered
later than macronutrients? With one
example each, mention the physiological role and deficiency disease caused by
(i) nitrogen, (ii)
phosphorus, (iii) copper, and (iv) iron.",,,,,,,
Biology,Select the correct statement,Histone protein is present in all prokaryotes but absent in animal cell,ER is absent in eukaryotes but presents in prokaryotes,Ribosome is present in eukaryotic cells but absent in prokaryotic cells,Nuclear membrane is absent in prokaryotes but nuclear membrane is present in eukaryotes,,,
Biology,"Family planning programme was invented in
A . 1981",,"1972
\( c \cdot 1962 \)",195,,,,
Biology,Describe haplodiploid sex determination system in honey bees.,,,,,,,
Biology,Fossil of Cro-Magnon Man was found in,Shivalik-Hille - - India,Neander-Valley - Germany,France,Africa,,,
Biology,Largest number of chloroplasts in the leaf is in.,Spongy tissue,Palisade tissue,Bundle sheath,Guard cells,,,
Biology,"A filament of Nostoc without its
mucilage sheath is called",Mycelium,Trichome,colony,Hypha,,,
Biology,"Body of lichen consists of two dissimilar organisms. Choose the correct option w.r.t. component which
form bulk of the thallus",Autotrophic component,Prepare food for fungi,Provide belongs to ascomycetes or sometimes,Form sexual reproductive structure,,,
Biology,Explain how animals in Vertebrata are classified into further subgroups.,,,,,,,
Biology,"Human cells in culture show a cell cycle
to be completed in approximately",42 hours,24 hours,24 seconds,24 minutes,,,
Biology,Cyanobacteria (Nostoc) is,Oxygenic with nitrogenase,Oxygenic without nitrogenase,Non-oxygenic without nitrogenase,Non-oxygenic with nitrigenase,,,
Biology,The template for protein synthesis is,DNA,mRNA,tRNA,rRNA,,,
Biology,The prokaryotic cells are represented by all except,Red algae,Blue green algae,Ray fungi,Mycoplasma,,,
Biology,"Match the column:
List I list II \( \quad \) List III A) BOD \( \quad \) i) Supernatant
as effluent \( \begin{array}{ll}\text { B) } & \text { ii) Measure of } \\ \text { FLOCS } & \text { Organic Matter }\end{array} \) All \( \| \textrm{ } \)
\( \mathrm{sol} \) SOlids
\( \mathrm{n} \) te carbon \( \begin{array}{l}\text { C) } \\ \text { Primary } \\ \text { sludge }\end{array} \mid \begin{array}{l}\text { iii) Masses of } \\ \text { bacteria } \\ \text { associated with } \\ \text { fungus }\end{array} \) has more
\( \mathbf{A} \cdot A-i i, I V B-i i i, I C-i,\|D-i v,\| I \)",,"A-ii, I B-i, III C-iv, II D-iii, IV
C \( . A \) -i, IV B-iii, II C-iv, I D-ii, III","A-ii, III B-ii, IV C-iii, I D-i, II",,,,
Biology,"The condition of erythroblastosis
foetalis occurs only when",The husband is \( R h^{+} \) and wife is \( R h^{-} \),The husband is \( R h^{-} \) and wife is \( R h^{+} \),The mother is \( R h^{-} \) and the foetus is \( R h^{+} \),The mother is \( R h^{+} \) and the foetus is \( R h^{-} \),,,
Biology,Tendons or ligaments are,Connective tissue,"Vascular tissue
C . Epithelial tissue",Skeletal tissue,,,,
Biology,"Who among the following did not provide experimental proof for the semiconservative model of DNA
replication?",Meselson \& Stahl,Cairns,Taylor,Watson \& Crick,,,
Biology,"A plant that has well differentiated body, special tissues for transport of water and other substances, but does
not have seed or fruits is a",Bryophyte,Angiosperm,Pteridophyte,Gymnosperm,,,
Biology,What is an annual ring?,,,,,,,
Biology,Which of the following is not an attribute of enzymes?,They are proteinaceous in nature.,They speed up the rate of biochemical reactions,They are used up in reactions,They are specific in nature.,,,
Biology,Which of the following is the cause of deforestation?,Urbanization,Agricultural activities,All of the above,Forest fires,,,
Biology,"Select in incorrect statement:
a) alimentary canal begins with an anterior cavity called buccal cavity.
b) tooth is embedded in a socket of
mandible bone only
c) human shows strict diphyodont type of dentition.
d) oesophagus and the trachea open into the phatynx
\( A \cdot a, b, c \& d \)",,"a, b \&
\( c \cdot a, c \& d \)","\( a, b \& d \)",,,,
Biology,The respiratory quotient (RQ) of carbohydrate is,Equal to 1,Less than 1,None of the above,More than 1,,,
Biology,End product of fermentation of sugars is,Water and carbon dioxide,Alcohol and carbon dioxide,Alcohol,Carbon dioxide,,,
Biology,"Which of the following helps in differentiation of cells of immune
system?",cortisol,Thyroxine,steroid,Thymosin,,,
Biology,"Which of the following is true of
ecological pyramids",Pyramids built upon biomass of organisms at each level eliminate size as a factor in the organisms,Energy gains between trophic levels occur based upon biomass conversion,None of the above,limited number of trophic levels man ecological pyramid are due to increasing complexity and size of organisms at each greater trophic level,,,
Biology,dentify the process.,Replication,Fertilisation,Budding,Binary fission,,,
Biology,Which of the following is wrong about ethylene?,Inhibit growth of root,Ripening of fruits,Promote senescence of leaves \& flowers,Elongation of stem in paddy,,,
Biology,"A lake with an inflow of domestic
sewage rich in organic waste may result in",Drying of the lake vary soon due to algal bloom,An increased growth of fishes due to lot of nutrients,Increased population of aquatic food web organisms,Death of fish due to lack of oxygen,,,
Biology,"Choose the correct answer among the alternatives given :
What is true for lactational
amenorrhea?
(i) It means absence of menstruation.
(ii) Ovulation does not occur during the lactational period.
(iii) Chances of contraception are almost nil upto six months following parturition.
(iv) Side effects are almost nil
(v) Contraceptive efficiency reduces after the period of intense lactation.
(vi) It is a natural method of
contraception.
(vii) It increases phagocytosis of
sperms.
A . (ii), (iii), (iv), (v) and (vi)",,"(i), (ii), (iii) and (iv)
\( c . \) (ii), (iii), (iv), (v) and (vii)
\( D \cdot(i),(\text { ii) }, \) (iii), (iv), (v) and (vi)",,,,,
Biology,"Oxidation of one molecule of glucose yields 38 mols of ATP in the proportion
of",8 in cytosol and 30 in mitochondrion,"30 in cytosol and 8 in mitochondrion
\( c .38 \) in cytosol",38 in mitochondrion,,,,
Biology,Allium cepa belongs to the family,Solanaceae,Liliaceae,compositae,Cruciferae,,,
Biology,"Consider following features
(a) Organ system level of organisation
(b) Bilateral symmetry
(c) True coelomates with segmentation
of body
Select the correct option of animal groups which possess all the above characteristic's.","Annelida, Arthropoda and Chordata","Annelida, Arthropoda and Mollusca","Annelida, Mollusca and Chordata","Arthropoda, Mollusca and chordata",,,
